ghcn_din;date;prcp;snow;tmax;tmin;elevation;name;coord;country_code
ITM00016064;2015-01-20;0.0;;8.2;1.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-17;99.0;;10.2;6.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-26;33.0;;;7.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-04-07;0.0;;15.4;4.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-27;;;28.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-15;0.0;;23.8;18.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-16;41.0;;18.2;17.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-23;79.0;;17.0;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-03;0.0;;13.0;3.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-05;0.0;;17.2;4.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-29;;;8.2;-5.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-02;0.0;;7.6;-5.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-05;0.0;;11.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-06;119.0;;;0.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-18;0.0;;10.4;2.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-19;;;;-2.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-03;0.0;;;0.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-23;0.0;;26.6;17.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-04;0.0;;30.8;19.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-05;152.0;;3.0;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-14;3.0;;25.8;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-09;0.0;;7.2;-2.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-02;20.0;;27.0;18.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-20;0.0;;9.4;-1.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-23;0.0;;17.0;4.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-04-03;0.0;;;4.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-17;0.0;;;7.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-08;20.0;;23.6;13.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-24;0.0;;8.4;-0.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-13;0.0;;;15.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-25;;;6.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-14;0.0;;26.4;11.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-28;0.0;;23.2;11.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-10;89.0;;26.4;17.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-18;0.0;;26.2;15.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-08;0.0;;32.0;21.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-17;0.0;;34.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-18;;;25.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-21;0.0;;;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-26;0.0;;18.0;4.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-30;;;14.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-10;;;5.6;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-12;0.0;;14.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-13;0.0;;6.4;0.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-23;0.0;;12.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-17;0.0;;;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-11;0.0;;18.2;2.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-16;170.0;;;4.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-01;;;;10.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-15;820.0;;18.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-18;0.0;;;14.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-09;0.0;;25.0;17.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-07;0.0;;35.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-24;0.0;;22.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-05;0.0;;21.0;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-19;0.0;;;4.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-10;0.0;;20.0;4.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-16;;;10.4;-0.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-23;;;11.4;3.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-30;10.0;;;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-04;0.0;;;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-22;0.0;;21.6;9.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-12;0.0;;24.6;18.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-26;0.0;;28.0;14.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-13;0.0;;33.4;22.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-22;0.0;;15.2;3.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-04;0.0;;;6.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-18;0.0;;10.0;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-15;;;10.0;-2.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-01-29;0.0;;;-3.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-02-02;0.0;;10.0;-5.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-04;0.0;;10.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-05;0.0;;12.6;5.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-24;5.0;;11.6;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-03-30;0.0;;;5.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-06;0.0;;24.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-22;0.0;;26.0;14.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-24;0.0;;33.6;21.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-27;;;32.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-18;160.0;;;16.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-20;0.0;;;14.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-07;0.0;;;11.6;178.6;CAMERI;45.53, 8.669;IT
